256,-376,6484,,273,-60,6533
356,-424,6452,,238,-172,6497
328,-340,6592,,259,-266,6500
308,-8,6804,,312,-287,6583
276,-256,6700,,317,-257,6637
356,-188,6736,,317,-198,6708
644,-528,6280,,396,-245,6630
540,-252,6656,,454,-306,6593
464,-248,6648,,501,-304,6580
484,-532,6384,,533,-390,6492
624,-800,6480,,528,-458,6542
692,-628,6572,,566,-552,6521
428,-308,6808,,557,-567,6561
156,-316,6968,,475,-513,6707
-8,-380,6924,,317,-408,6818
164,-560,6732,,185,-391,6858
176,-816,6836,,122,-518,6865
516,-900,6476,,212,-664,6742
396,-560,6720,,313,-709,6691
344,-672,6724,,358,-737,6689
268,-952,6724,,381,-771,6661
248,-932,6648,,314,-779,6704
128,-936,7016,,247,-873,6778
100,-952,7240,,186,-943,6907
0,-1216,7448,,119,-1009,7088
112,-1496,7508,,85,-1150,7303
192,-1660,7468,,101,-1331,7416
40,-1588,7884,,86,-1490,7577
0,-1784,8184,,86,-1632,7761
28,-1800,8092,,65,-1708,7907
-60,-1708,8064,,2,-1720,8056
172,-1792,7612,,35,-1771,7988
-4,-1524,7808,,34,-1706,7894
-132,-1344,7572,,-6,-1592,7764
36,-1440,7312,,18,-1525,7576
488,-1256,6824,,97,-1391,7379
560,-984,6348,,238,-1256,7014
492,-1080,6224,,394,-1190,6677
336,-1028,6092,,469,-1087,6372
156,-872,6044,,386,-991,6177
148,-744,5992,,283,-931,6088
-160,-500,6124,,120,-786,6063
-124,-616,6232,,5,-683,6098
-124,-672,6164,,-65,-633,6128
-160,-560,6224,,-142,-587,6186
-172,-608,5952,,-145,-614,6143
-296,-452,5972,,-188,-573,6078
-364,-352,6280,,-248,-493,6107
-536,-116,6384,,-342,-382,6147
-484,24,6244,,-420,-224,6220
-372,-116,6084,,-439,-140,6248
-116,-128,6172,,-377,-84,6221
352,240,5752,,-155,5,6063
152,152,6404,,4,37,6103
-140,284,7304,,62,137,6408
364,204,5676,,182,220,6284
404,312,5792,,195,238,6294
-44,192,6732,,146,248,6376
44,120,5828,,192,207,6007
-136,224,5664,,67,212,6004
-340,596,5552,,-119,283,5944
-412,388,5316,,-211,332,5590
-184,148,5364,,-268,339,5474
-80,208,5692,,-254,335,5481
764,-108,5072,,22,159,5361
1080,472,5104,,395,180,5308
1048,188,4820,,703,190,5172
1072,120,4832,,991,168,4957
800,-156,4036,,1000,156,4698
-184,0,6408,,684,38,5024
-544,0,7064,,286,-9,5585
-688,-368,7812,,-154,-131,6330
-572,-568,8168,,-497,-234,7363
-248,-688,8128,,-513,-406,7793
248,-760,7352,,-315,-596,7865
440,-764,6980,,-33,-695,7657
540,-728,6752,,245,-735,7303
784,-552,6388,,503,-701,6868
652,-444,6476,,604,-622,6649
740,-512,6368,,679,-559,6496
640,-500,6344,,704,-502,6394
364,-584,6580,,599,-510,6442
384,-476,6752,,532,-518,6511
528,-276,7012,,479,-459,6672
632,-412,7092,,477,-437,6859
896,-656,6756,,610,-455,6903
764,-656,7200,,705,-500,7015
904,-504,7168,,799,-557,7054
244,-636,7204,,702,-613,7082
0,-452,7416,,478,-562,7247
84,-344,7776,,308,-484,7391
-116,-420,8076,,53,-463,7618
596,-1172,7120,,141,-597,7597
728,-596,6968,,323,-633,7485
616,-420,7480,,456,-652,7411
248,-388,7896,,547,-644,7366
184,-392,7328,,444,-449,7418
336,-248,6728,,346,-362,7358
164,-156,6468,,233,-296,7105
188,-112,6352,,218,-227,6719
252,-28,6812,,235,-136,6590
304,-4,6264,,227,-75,6474
416,-88,5980,,290,-58,6352
368,28,6292,,335,-23,6337
504,32,6976,,398,-8,6378
688,-168,6824,,494,-49,6518
1156,-240,6740,,679,-87,6708
